date,carat
2020-01-27,3282.330078
2020-02-03,3235.659912
2020-02-10,3318.280029
2020-02-17,3369.040039
2020-02-24,3257.610107
2020-03-02,2974.280029
2020-03-09,2863.889893
2020-03-16,2508.590088
2020-03-23,2290.709961
2020-03-30,2558.97998
2020-04-06,2578.280029
2020-04-13,2782.459961
2020-04-20,2845.620117
2020-04-27,2854.649902
2020-05-04,2815.01001
2020-05-11,2915.459961
2020-05-18,2913.860107
2020-05-25,3004.080078
2020-06-01,3038.780029
2020-06-08,3199.919922
2020-06-15,2993.76001
2020-06-22,3094.419922
2020-06-29,3018.590088
2020-07-06,3155.290039
2020-07-13,3205.080078
2020-07-20,3224.290039
2020-07-27,3219.840088
2020-08-03,3288.26001
2020-08-10,3356.040039
2020-08-17,3380.860107
2020-08-24,3418.090088
2020-08-31,3509.72998
2020-09-07,3371.879883
2020-09-14,3363.560059
2020-09-21,3285.570068
2020-09-28,3333.899902
2020-10-05,3367.27002
2020-10-12,3500.02002
2020-10-19,3493.659912
2020-10-26,3441.419922
2020-11-02,3296.199951
2020-11-09,3583.040039
2020-11-16,3600.159912
2020-11-23,3566.820068
2020-11-30,3634.179932
2020-12-07,3694.72998
2020-12-14,3675.27002
2020-12-21,3684.280029
2020-12-28,3723.030029